feature,importance,fold
X33-min_gb_X5,10.6,3
X33-max_gb_X5,37.8,3
X33/sum_gb_X5,24.6,3
X38-mean_gb_X5,14.4,3
X38-min_gb_X5,0.2,3
X38-max_gb_X5,15.2,3
X38/sum_gb_X5,18.8,3
yuyin_mean-mean_gb_X5,22.0,3
yuyin_mean-min_gb_X5,0.8,3
yuyin_mean-max_gb_X5,73.2,3
yuyin_mean/sum_gb_X5,44.8,3
liuliang_mean-mean_gb_X5,36.0,3
liuliang_mean-min_gb_X5,1.2,3
liuliang_mean-max_gb_X5,58.4,3
liuliang_mean/sum_gb_X5,23.2,3
baohe_mean-mean_gb_X5,45.8,3
baohe_mean-min_gb_X5,2.2,3
baohe_mean-max_gb_X5,50.0,3
baohe_mean/sum_gb_X5,36.8,3
X4-mean_gb_X26,8.6,3
X4-min_gb_X26,0.8,3
X4-max_gb_X26,0.0,3
X4/sum_gb_X26,19.4,3
X15-mean_gb_X26,114.6,3
X15-min_gb_X26,32.6,3
X15-max_gb_X26,46.8,3
X15/sum_gb_X26,37.0,3
X16-mean_gb_X26,65.2,3
X16-min_gb_X26,0.6,3
X16-max_gb_X26,52.8,3
X16/sum_gb_X26,47.6,3
X17-mean_gb_X26,58.0,3
X17-min_gb_X26,0.6,3
X17-max_gb_X26,83.4,3
X17/sum_gb_X26,54.4,3
X32-mean_gb_X26,78.0,3
X32-min_gb_X26,27.6,3
X32-max_gb_X26,58.2,3
X32/sum_gb_X26,20.4,3
X33-mean_gb_X26,51.4,3
X33-min_gb_X26,30.6,3
X33-max_gb_X26,48.6,3
X33/sum_gb_X26,34.6,3
X38-mean_gb_X26,10.8,3
X38-min_gb_X26,0.2,3
X38-max_gb_X26,14.4,3
X38/sum_gb_X26,14.2,3
yuyin_mean-mean_gb_X26,20.0,3
yuyin_mean-min_gb_X26,0.4,3
yuyin_mean-max_gb_X26,33.6,3
yuyin_mean/sum_gb_X26,22.4,3
liuliang_mean-mean_gb_X26,8.4,3
liuliang_mean-min_gb_X26,0.2,3
liuliang_mean-max_gb_X26,30.4,3
liuliang_mean/sum_gb_X26,16.4,3
baohe_mean-mean_gb_X26,56.6,3
baohe_mean-min_gb_X26,0.4,3
baohe_mean-max_gb_X26,42.4,3
baohe_mean/sum_gb_X26,25.6,3
X4-mean_gb_X33_bin,16.8,3
X4-min_gb_X33_bin,1.0,3
X4-max_gb_X33_bin,0.2,3
X4/sum_gb_X33_bin,27.8,3
X15-mean_gb_X33_bin,125.4,3
X15-min_gb_X33_bin,77.0,3
X15-max_gb_X33_bin,87.0,3
X15/sum_gb_X33_bin,89.8,3
X16-mean_gb_X33_bin,67.0,3
X16-min_gb_X33_bin,24.4,3
X16-max_gb_X33_bin,95.8,3
X16/sum_gb_X33_bin,88.2,3
X17-mean_gb_X33_bin,80.8,3
X17-min_gb_X33_bin,22.0,3
X17-max_gb_X33_bin,106.4,3
X17/sum_gb_X33_bin,89.2,3
X32-mean_gb_X33_bin,68.6,3
X32-min_gb_X33_bin,49.2,3
X32-max_gb_X33_bin,60.0,3
X32/sum_gb_X33_bin,26.0,3
X33-mean_gb_X33_bin,103.8,3
X33-min_gb_X33_bin,39.4,3
X33-max_gb_X33_bin,49.4,3
X33/sum_gb_X33_bin,21.4,3
X38-mean_gb_X33_bin,9.4,3
X38-min_gb_X33_bin,11.2,3
X38-max_gb_X33_bin,18.8,3
X38/sum_gb_X33_bin,17.6,3
yuyin_mean-mean_gb_X33_bin,57.8,3
yuyin_mean-min_gb_X33_bin,15.6,3
yuyin_mean-max_gb_X33_bin,73.0,3
yuyin_mean/sum_gb_X33_bin,33.4,3
liuliang_mean-mean_gb_X33_bin,19.4,3
liuliang_mean-min_gb_X33_bin,9.0,3
liuliang_mean-max_gb_X33_bin,32.8,3
liuliang_mean/sum_gb_X33_bin,30.0,3
baohe_mean-mean_gb_X33_bin,68.4,3
baohe_mean-min_gb_X33_bin,7.6,3
baohe_mean-max_gb_X33_bin,62.6,3
baohe_mean/sum_gb_X33_bin,45.6,3
X1,56.2,4
X2,207.2,4
X3,0.2,4
X4,1.0,4
X5,0.8,4
X6,177.2,4
X7,92.4,4
X8,110.2,4
X9,129.6,4
X10,74.0,4
X11,84.0,4
X12,128.6,4
X13,54.0,4
X14,60.6,4
X15,18.4,4
X16,11.0,4
X17,7.4,4
X18,49.0,4
X19,28.0,4
X20,33.2,4
X21,22.6,4
X22,15.2,4
X23,24.6,4
X24,0.0,4
X25,22.6,4
X26,0.6,4
X27,0.0,4
X28,0.0,4
X29,12.0,4
X30,2.0,4
X31,21.8,4
X32,12.0,4
X33,12.4,4
X34,92.0,4
X35,55.8,4
X36,52.8,4
X37,133.2,4
X38,17.4,4
X39,78.0,4
X40,1.0,4
X41,41.6,4
X42,6.6,4
X43,9.2,4
arpu_incre_1,204.6,4
arpu_incre_2,100.6,4
arpu_incre_3,71.6,4
arpu_rate_1,117.0,4
arpu_rate_2,70.4,4
arpu_rate_3,84.4,4
dou_incre_1,116.4,4
mou_incre_1,109.4,4
dangyue_arpu,98.4,4
dangyue_dou,142.0,4
dangyue_mou,183.4,4
mou_dou_1,98.2,4
taocan_arpu_1,133.2,4
taocan_arpu_2,99.4,4
yuyin_mean,4.2,4
liuliang_mean,7.4,4
yuyin_incre_1,62.0,4
liuliang_incre_1,14.0,4
baohe_mean,9.0,4
baohe_incre_1,86.8,4
dangyue_yuyin,53.6,4
liuliang_yuyin,32.8,4
dangyue_baohe,70.8,4
arpu_qushi,75.8,4
dou_qushi,153.8,4
mou_qushi,149.6,4
yuyin_qushi,68.8,4
liuliang_qushi,41.4,4
baohe_qushi,71.0,4
X38_flag,0.8,4
5G_num,64.8,4
X3_count,4.2,4
X5_count,2.6,4
X26_count,1.2,4
X33_bin_count,0.6,4
X4-mean_gb_X3,10.6,4
X4-min_gb_X3,5.2,4
X4-max_gb_X3,6.8,4
X4/sum_gb_X3,14.0,4
X15-mean_gb_X3,117.4,4
X15-min_gb_X3,37.2,4
X15-max_gb_X3,87.0,4
X15/sum_gb_X3,96.4,4
X16-mean_gb_X3,66.8,4
X16-min_gb_X3,38.0,4
X16-max_gb_X3,38.4,4
X16/sum_gb_X3,52.6,4
X17-mean_gb_X3,63.4,4
X17-min_gb_X3,36.6,4
X17-max_gb_X3,98.0,4
X17/sum_gb_X3,83.6,4
X32-mean_gb_X3,59.6,4
X32-min_gb_X3,16.6,4
X32-max_gb_X3,26.8,4
X32/sum_gb_X3,40.2,4
X33-mean_gb_X3,38.4,4
X33-min_gb_X3,10.0,4
X33-max_gb_X3,15.2,4
X33/sum_gb_X3,34.8,4
X38-mean_gb_X3,7.8,4
X38-min_gb_X3,39.2,4
X38-max_gb_X3,21.4,4
X38/sum_gb_X3,23.0,4
yuyin_mean-mean_gb_X3,24.0,4
yuyin_mean-min_gb_X3,16.2,4
yuyin_mean-max_gb_X3,47.6,4
yuyin_mean/sum_gb_X3,34.4,4
liuliang_mean-mean_gb_X3,13.2,4
liuliang_mean-min_gb_X3,10.4,4
liuliang_mean-max_gb_X3,30.6,4
liuliang_mean/sum_gb_X3,18.8,4
baohe_mean-mean_gb_X3,31.2,4
baohe_mean-min_gb_X3,9.0,4
baohe_mean-max_gb_X3,33.8,4
baohe_mean/sum_gb_X3,22.8,4
X4-mean_gb_X5,15.0,4
X4-min_gb_X5,0.0,4
X4-max_gb_X5,0.0,4
X4/sum_gb_X5,9.8,4
X15-mean_gb_X5,60.0,4
X15-min_gb_X5,4.0,4
X15-max_gb_X5,80.8,4
X15/sum_gb_X5,65.4,4
X16-mean_gb_X5,43.4,4
X16-min_gb_X5,1.2,4
X16-max_gb_X5,27.6,4
X16/sum_gb_X5,51.8,4
X17-mean_gb_X5,60.8,4
X17-min_gb_X5,1.8,4
X17-max_gb_X5,84.6,4
X17/sum_gb_X5,61.4,4
X32-mean_gb_X5,23.6,4
X32-min_gb_X5,9.4,4
X32-max_gb_X5,33.4,4
X32/sum_gb_X5,21.0,4
X33-mean_gb_X5,19.6,4
X33-min_gb_X5,8.6,4
X33-max_gb_X5,25.0,4
X33/sum_gb_X5,21.0,4
X38-mean_gb_X5,12.0,4
X38-min_gb_X5,0.4,4
X38-max_gb_X5,9.6,4
X38/sum_gb_X5,15.0,4
yuyin_mean-mean_gb_X5,17.6,4
yuyin_mean-min_gb_X5,1.8,4
yuyin_mean-max_gb_X5,69.4,4
yuyin_mean/sum_gb_X5,28.6,4
liuliang_mean-mean_gb_X5,33.4,4
liuliang_mean-min_gb_X5,0.8,4
liuliang_mean-max_gb_X5,37.6,4
liuliang_mean/sum_gb_X5,20.4,4
baohe_mean-mean_gb_X5,32.4,4
baohe_mean-min_gb_X5,1.4,4
baohe_mean-max_gb_X5,27.6,4
baohe_mean/sum_gb_X5,29.0,4
X4-mean_gb_X26,10.8,4
X4-min_gb_X26,1.2,4
X4-max_gb_X26,0.0,4
X4/sum_gb_X26,11.8,4
X15-mean_gb_X26,97.2,4
X15-min_gb_X26,30.0,4
X15-max_gb_X26,45.8,4
X15/sum_gb_X26,33.8,4
X16-mean_gb_X26,53.8,4
X16-min_gb_X26,0.2,4
X16-max_gb_X26,41.6,4
X16/sum_gb_X26,32.8,4
X17-mean_gb_X26,39.8,4
X17-min_gb_X26,1.4,4
X17-max_gb_X26,65.6,4
X17/sum_gb_X26,44.6,4
X32-mean_gb_X26,71.0,4
X32-min_gb_X26,22.6,4
X32-max_gb_X26,56.4,4
X32/sum_gb_X26,25.6,4
X33-mean_gb_X26,56.2,4
X33-min_gb_X26,27.4,4
X33-max_gb_X26,42.6,4
X33/sum_gb_X26,33.4,4
X38-mean_gb_X26,9.2,4
X38-min_gb_X26,0.2,4
X38-max_gb_X26,14.8,4
X38/sum_gb_X26,11.2,4
yuyin_mean-mean_gb_X26,20.8,4
yuyin_mean-min_gb_X26,0.2,4
yuyin_mean-max_gb_X26,28.6,4
yuyin_mean/sum_gb_X26,14.4,4
liuliang_mean-mean_gb_X26,5.8,4
liuliang_mean-min_gb_X26,0.8,4
liuliang_mean-max_gb_X26,18.0,4
liuliang_mean/sum_gb_X26,13.4,4
baohe_mean-mean_gb_X26,38.8,4
baohe_mean-min_gb_X26,0.4,4
baohe_mean-max_gb_X26,31.2,4
baohe_mean/sum_gb_X26,26.4,4
X4-mean_gb_X33_bin,16.4,4
X4-min_gb_X33_bin,0.6,4
X4-max_gb_X33_bin,0.0,4
X4/sum_gb_X33_bin,37.4,4
X15-mean_gb_X33_bin,86.6,4
X15-min_gb_X33_bin,77.0,4
X15-max_gb_X33_bin,74.4,4
X15/sum_gb_X33_bin,80.8,4
X16-mean_gb_X33_bin,53.6,4
X16-min_gb_X33_bin,25.4,4
X16-max_gb_X33_bin,93.2,4
X16/sum_gb_X33_bin,76.2,4
X17-mean_gb_X33_bin,56.6,4
X17-min_gb_X33_bin,18.2,4
X17-max_gb_X33_bin,82.8,4
X17/sum_gb_X33_bin,70.8,4
X32-mean_gb_X33_bin,49.6,4
X32-min_gb_X33_bin,35.2,4
X32-max_gb_X33_bin,50.2,4
X32/sum_gb_X33_bin,19.0,4
X33-mean_gb_X33_bin,102.0,4
X33-min_gb_X33_bin,32.8,4
X33-max_gb_X33_bin,50.4,4
X33/sum_gb_X33_bin,13.6,4
X38-mean_gb_X33_bin,9.2,4
X38-min_gb_X33_bin,12.0,4
X38-max_gb_X33_bin,19.6,4
X38/sum_gb_X33_bin,22.8,4
yuyin_mean-mean_gb_X33_bin,50.2,4
yuyin_mean-min_gb_X33_bin,7.2,4
yuyin_mean-max_gb_X33_bin,58.8,4
yuyin_mean/sum_gb_X33_bin,25.0,4
liuliang_mean-mean_gb_X33_bin,19.6,4
liuliang_mean-min_gb_X33_bin,6.6,4
liuliang_mean-max_gb_X33_bin,30.2,4
liuliang_mean/sum_gb_X33_bin,23.8,4
baohe_mean-mean_gb_X33_bin,46.2,4
baohe_mean-min_gb_X33_bin,4.0,4
baohe_mean-max_gb_X33_bin,42.8,4
baohe_mean/sum_gb_X33_bin,32.8,4
X1,54.6,5
X2,213.2,5
X3,1.4,5
X4,0.8,5
X5,0.6,5
X6,189.0,5
X7,102.2,5
X8,126.8,5
X9,155.0,5
X10,88.6,5
X11,82.8,5
X12,134.2,5
X13,48.8,5
X14,62.0,5
X15,22.0,5
X16,10.2,5
X17,12.4,5
X18,40.0,5
X19,26.6,5
X20,30.8,5
X21,23.0,5
X22,10.4,5
X23,10.6,5
X24,0.0,5
X25,19.6,5
X26,0.6,5
X27,0.0,5
X28,1.4,5
X29,17.2,5
X30,3.2,5
X31,33.8,5
X32,16.0,5
X33,11.8,5
X34,87.8,5
X35,55.4,5
X36,63.2,5
X37,126.2,5
X38,11.8,5
X39,84.6,5
X40,5.0,5
X41,51.6,5
X42,7.8,5
X43,6.4,5
arpu_incre_1,200.6,5
arpu_incre_2,96.4,5
arpu_incre_3,74.0,5
arpu_rate_1,122.4,5
arpu_rate_2,62.8,5
arpu_rate_3,90.0,5
dou_incre_1,108.8,5
mou_incre_1,125.6,5
dangyue_arpu,109.0,5
dangyue_dou,122.2,5
dangyue_mou,194.6,5
mou_dou_1,84.4,5
taocan_arpu_1,153.2,5
taocan_arpu_2,93.4,5
yuyin_mean,5.2,5
liuliang_mean,5.0,5
yuyin_incre_1,68.4,5
liuliang_incre_1,16.6,5
baohe_mean,6.0,5
baohe_incre_1,74.8,5
dangyue_yuyin,58.4,5
liuliang_yuyin,20.8,5
dangyue_baohe,51.2,5
arpu_qushi,58.8,5
dou_qushi,159.4,5
mou_qushi,167.4,5
yuyin_qushi,72.4,5
liuliang_qushi,36.8,5
baohe_qushi,82.8,5
X38_flag,1.2,5
5G_num,58.2,5
X3_count,4.6,5
X5_count,1.0,5
X26_count,0.0,5
X33_bin_count,1.8,5
X4-mean_gb_X3,17.8,5
X4-min_gb_X3,2.4,5
X4-max_gb_X3,6.0,5
X4/sum_gb_X3,16.4,5
X15-mean_gb_X3,96.0,5
X15-min_gb_X3,46.6,5
X15-max_gb_X3,87.8,5
X15/sum_gb_X3,81.8,5
X16-mean_gb_X3,72.4,5
X16-min_gb_X3,34.6,5
X16-max_gb_X3,53.6,5
X16/sum_gb_X3,73.8,5
X17-mean_gb_X3,72.0,5
X17-min_gb_X3,47.0,5
X17-max_gb_X3,103.4,5
X17/sum_gb_X3,72.8,5
X32-mean_gb_X3,55.0,5
X32-min_gb_X3,21.0,5
X32-max_gb_X3,19.6,5
X32/sum_gb_X3,50.8,5
X33-mean_gb_X3,38.6,5
X33-min_gb_X3,15.0,5
X33-max_gb_X3,12.0,5
X33/sum_gb_X3,37.6,5
X38-mean_gb_X3,10.6,5
X38-min_gb_X3,33.2,5
X38-max_gb_X3,14.0,5
X38/sum_gb_X3,21.4,5
yuyin_mean-mean_gb_X3,26.6,5
yuyin_mean-min_gb_X3,17.6,5
yuyin_mean-max_gb_X3,40.6,5
yuyin_mean/sum_gb_X3,35.4,5
liuliang_mean-mean_gb_X3,13.0,5
liuliang_mean-min_gb_X3,6.8,5
liuliang_mean-max_gb_X3,32.4,5
liuliang_mean/sum_gb_X3,17.2,5
baohe_mean-mean_gb_X3,33.2,5
baohe_mean-min_gb_X3,7.6,5
baohe_mean-max_gb_X3,26.0,5
baohe_mean/sum_gb_X3,24.8,5
X4-mean_gb_X5,15.0,5
X4-min_gb_X5,0.0,5
X4-max_gb_X5,0.0,5
X4/sum_gb_X5,14.4,5
X15-mean_gb_X5,77.4,5
X15-min_gb_X5,3.2,5
X15-max_gb_X5,65.4,5
X15/sum_gb_X5,66.2,5
X16-mean_gb_X5,45.6,5
X16-min_gb_X5,0.6,5
X16-max_gb_X5,25.8,5
X16/sum_gb_X5,53.8,5
X17-mean_gb_X5,57.4,5
X17-min_gb_X5,1.6,5
X17-max_gb_X5,78.0,5
X17/sum_gb_X5,55.4,5
X32-mean_gb_X5,23.8,5
X32-min_gb_X5,6.6,5
X32-max_gb_X5,49.4,5
X32/sum_gb_X5,30.6,5
X33-mean_gb_X5,21.4,5
X33-min_gb_X5,12.0,5
X33-max_gb_X5,28.8,5
X33/sum_gb_X5,18.0,5
X38-mean_gb_X5,12.0,5
X38-min_gb_X5,1.0,5
X38-max_gb_X5,9.6,5
X38/sum_gb_X5,21.4,5
yuyin_mean-mean_gb_X5,13.0,5
yuyin_mean-min_gb_X5,0.6,5
yuyin_mean-max_gb_X5,65.0,5
yuyin_mean/sum_gb_X5,21.4,5
liuliang_mean-mean_gb_X5,31.8,5
liuliang_mean-min_gb_X5,0.6,5
liuliang_mean-max_gb_X5,44.4,5
liuliang_mean/sum_gb_X5,13.6,5
baohe_mean-mean_gb_X5,28.8,5
baohe_mean-min_gb_X5,1.6,5
baohe_mean-max_gb_X5,35.6,5
baohe_mean/sum_gb_X5,37.2,5
X4-mean_gb_X26,5.6,5
X4-min_gb_X26,0.4,5
X4-max_gb_X26,0.2,5
X4/sum_gb_X26,10.8,5
X15-mean_gb_X26,95.4,5
X15-min_gb_X26,39.2,5
X15-max_gb_X26,41.4,5
X15/sum_gb_X26,38.2,5
X16-mean_gb_X26,63.2,5
X16-min_gb_X26,0.2,5
X16-max_gb_X26,37.4,5
X16/sum_gb_X26,37.4,5
X17-mean_gb_X26,42.2,5
X17-min_gb_X26,4.2,5
X17-max_gb_X26,69.6,5
X17/sum_gb_X26,49.6,5
X32-mean_gb_X26,76.8,5
X32-min_gb_X26,20.4,5
X32-max_gb_X26,62.0,5
X32/sum_gb_X26,23.0,5
X33-mean_gb_X26,55.6,5
X33-min_gb_X26,37.8,5
X33-max_gb_X26,46.2,5
X33/sum_gb_X26,32.8,5
X38-mean_gb_X26,11.0,5
X38-min_gb_X26,0.2,5
X38-max_gb_X26,11.0,5
X38/sum_gb_X26,15.6,5
yuyin_mean-mean_gb_X26,18.8,5
yuyin_mean-min_gb_X26,0.0,5
yuyin_mean-max_gb_X26,31.2,5
yuyin_mean/sum_gb_X26,19.6,5
liuliang_mean-mean_gb_X26,12.6,5
liuliang_mean-min_gb_X26,0.4,5
liuliang_mean-max_gb_X26,24.0,5
liuliang_mean/sum_gb_X26,19.4,5
baohe_mean-mean_gb_X26,51.8,5
baohe_mean-min_gb_X26,0.8,5
baohe_mean-max_gb_X26,36.6,5
baohe_mean/sum_gb_X26,22.6,5
X4-mean_gb_X33_bin,17.0,5
X4-min_gb_X33_bin,1.2,5
X4-max_gb_X33_bin,0.0,5
X4/sum_gb_X33_bin,19.6,5
X15-mean_gb_X33_bin,99.8,5
X15-min_gb_X33_bin,64.4,5
X15-max_gb_X33_bin,58.6,5
X15/sum_gb_X33_bin,72.0,5
X16-mean_gb_X33_bin,50.4,5
X16-min_gb_X33_bin,23.0,5
X16-max_gb_X33_bin,70.6,5
X16/sum_gb_X33_bin,70.0,5
X17-mean_gb_X33_bin,50.2,5
X17-min_gb_X33_bin,21.6,5
X17-max_gb_X33_bin,80.8,5
X17/sum_gb_X33_bin,57.0,5
X32-mean_gb_X33_bin,54.2,5
X32-min_gb_X33_bin,51.6,5
X32-max_gb_X33_bin,52.4,5
X32/sum_gb_X33_bin,24.6,5
X33-mean_gb_X33_bin,89.6,5
X33-min_gb_X33_bin,34.6,5
X33-max_gb_X33_bin,51.6,5
X33/sum_gb_X33_bin,19.0,5
X38-mean_gb_X33_bin,7.0,5
X38-min_gb_X33_bin,11.4,5
X38-max_gb_X33_bin,17.2,5
X38/sum_gb_X33_bin,20.6,5
yuyin_mean-mean_gb_X33_bin,36.4,5
yuyin_mean-min_gb_X33_bin,8.2,5
yuyin_mean-max_gb_X33_bin,55.0,5
yuyin_mean/sum_gb_X33_bin,29.0,5
liuliang_mean-mean_gb_X33_bin,20.8,5
liuliang_mean-min_gb_X33_bin,6.0,5
liuliang_mean-max_gb_X33_bin,24.0,5
liuliang_mean/sum_gb_X33_bin,25.2,5
baohe_mean-mean_gb_X33_bin,60.6,5
baohe_mean-min_gb_X33_bin,6.2,5
baohe_mean-max_gb_X33_bin,41.2,5
baohe_mean/sum_gb_X33_bin,33.4,5
